"Cluster","Host","HostNumCPU","HostMemUsage","HostMemTotal","Name","OSName","Power","MemoryGB","NumCPU","NumDisks","DisksGB"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DAVPN02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DC01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","55"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DC02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","2","51"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DIR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","165"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DIR02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DIRECT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DIRECT02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","3","130"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DM02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","3","130"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DM03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","3","130"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1DMBK01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DMIDOL01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","12","8","4","350"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DMIDOL02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","11","1960"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DMIDOL03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","10","1910"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DMINDEX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","4","432"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1DMINDEX02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","11","1665"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1DMINDEX03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","9","1345"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DMIX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","4","450"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1DMIX02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","11","1860"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1DMIX03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","12","9","1360"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1DMS02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DMS03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DMSPV01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","265"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1DMSPV02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DMSWCS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","105"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1DMSWCS02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DMSWCS03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","80"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1DMWCS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1DPX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","4","3","305"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1EDGE01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","1","80"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1EDGE02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1EDGE02_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1EICC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","105"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1EPM01","Red Hat Enterprise Linux 5 (64-bit)","PoweredOn","16","2","1","300"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1EQCAS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","75"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1EQCAS02 UAT","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1EXCH01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","48","6","24","13111.3583087921"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1EXCH02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","48","6","23","12751.4317417145"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1EXCH03","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","32","4","21","11304.9734783173"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1EXCH04","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","32","4","21","10925.4012060165"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1EXCH05","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","32","4","9","3619.43770885468"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1FS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","265"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1GWPX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1HS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1IDM01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","6","2","2","55"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1INTLIVE01","Ubuntu Linux (64-bit)","PoweredOn","4","2","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1INTOINT01","Ubuntu Linux (64-bit)","PoweredOn","8","2","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1INTOINT11","Ubuntu Linux (64-bit)","PoweredOn","8","2","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1INTOSE01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","215"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTOSE11","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","215"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTOWEB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1INTOWEB02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTOWEB11","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTOWEB12","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTTEST01","Ubuntu Linux (64-bit)","PoweredOn","4","2","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1INTWEXT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","77"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1INTWEXT11","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","2","77"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1INTWINT01","Ubuntu Linux (64-bit)","PoweredOn","4","1","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1INTWINT11","Ubuntu Linux (64-bit)","PoweredOn","3.5","1","2","51.3999996185303"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1INTWWEB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1INTWWEB11","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1KEMPLB01","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1KEMPLB02","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1KEMPRP01","Other 2.6.x Linux (64-bit)","PoweredOn","2","2","1","16"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1LIC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1LYNC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1LYNC02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1LYNC02_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1LYNC03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1LYNC03_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1LYNC04","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","4","3","137"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1LYNC04_OLD","Microsoft Windows Server 2012 (64-bit)","PoweredOff","16","4","3","105"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1MISEN01","CentOS 4/5 or later (64-bit)","PoweredOn","4","1","1","40"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1MISEN02","CentOS 4/5 or later (64-bit)","PoweredOn","4","1","1","40"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1MIVSP01","CentOS 4/5 or later (64-bit)","PoweredOn","8","1","1","100"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1MIVSP01_Clone","CentOS 4/5 or later (64-bit)","PoweredOff","8","1","1","40"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1NAG01","CentOS 4/5 or later (64-bit)","PoweredOn","4","2","1","24"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1NE01_LeaveOff","Other Linux (64-bit)","PoweredOff","0.375","1","1","40"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1NETS01","Oracle Solaris 10 (64-bit)","PoweredOn","4","2","1","20"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1NETS02","Oracle Solaris 10 (64-bit)","PoweredOn","4","2","1","20"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1NETS03_OFF","Oracle Solaris 10 (64-bit)","PoweredOff","4","2","1","20"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1NPS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1ODOO01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1OWA01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","69"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1PC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","105"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1PIPE01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","8","3","127"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1PRX01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","105"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1PRXMG01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","105"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1QMS01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","3","165"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1RAS02","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","1","1","80"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1RAVN01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","4","2","45"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1RBCMC01","Other 2.6.x Linux (64-bit)","PoweredOn","6","2","3","74"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1RDLIC01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1RDSH04","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","209"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1RMS01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","4","2","3","46"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SCH01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SCOM01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","12","2","1","80"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SCORCH01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SCSM01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","10","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SCSMDW01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1SCSMWEB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SF01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SF02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SHARF01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SHARF02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","2","50"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SHARF03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SHARF04","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SME02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","3","165"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SOLARW01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","3","275"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SQL01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","12","2","3","344"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SQL02","Microsoft Windows Server 2012 (64-bit)","PoweredOn","12","2","3","692"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1SQL03","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","5","328"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SQL03_OLD_OFF","Microsoft Windows Server 2012 (64-bit)","PoweredOff","128","16","3","460"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1SQL04","Microsoft Windows Server 2012 (64-bit)","PoweredOn","64","14","4","1030"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1SQL05","Microsoft Windows Server 2012 (64-bit)","PoweredOn","24","4","5","355"
"DC1 Cluster","wfwdc1vm07.wfw.com","24","292","511","WFWDC1SQLDEV01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","4","3","125"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1SQLEXPR01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm08.wfw.com","24","298","511","WFWDC1SQLTEST01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","64","7","4","365"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SS001","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SSOWEB01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","2","2","65"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1SWNTA01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","16","2","3","135"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1SYSLOG01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","8","2","2","65"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1TPDSK01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","15.203125","4","3","85"
"DC1 Cluster","wfwdc1vm04.wfw.com","24","280","511","WFWDC1TPDUAT01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","15.203125","4","3","85"
"DC1 Cluster","wfwdc1vm06.wfw.com","24","303","511","WFWDC1TRENDMG01","Microsoft Windows Server 2012 (64-bit)","PoweredOn","4","1","3","90"
"DC1 Cluster","wfwdc1vm05.wfw.com","24","295","511","WFWDC1UAG01","Microsoft Windows Server 2008 R2 (64-bit)","PoweredOn","8","2","2","59"
